Name,College,Position,Age
Durham Smythe,Notre Dame,TE,1995.60274
Dalton Schultz,Stanford,TE,1996.523288
Troy Fumagalli,Wisconsin,TE,1995.128767
Tyler Conklin,Central Michigan,TE,1995.575342
Jaylen Samuels,North Carolina State,TE,1996.550684
Jordan Thomas,Mississippi State,TE,1996.583562
Ryan Izzo,Florida State,TE,1995.969863
Jordan Payton,UCLA,WR,1993.665753
Trevor Davis,California,WR,1993.50411
Tyreek Hill,West Alabama,WR,1994.161644
Rashard Higgins,Colorado State,WR,1994.764384
Moritz Boehringer,None,WR,1993.789041
Jakeem Grant,Texas Tech,WR,1992.827397
Kolby Listenbee,Texas Christian,WR,1994.065753
Cody Core,Mississippi,WR,1994.290411
Mike Thomas,Southern Mississippi,WR,1994.621918
Aaron Burbridge,Michigan State,WR,1993.97808
Devin Lucien,Arizona State,WR,1993.482192
DeMarcus Ayers,Houston,WR,1994.512329
Daniel Braverman,Western Michigan,WR,1993.739726
Devin Fuller,UCLA,WR,1994.076712
Charone Peake,Clemson,WR,1992.789041
Kenny Lawler,California,WR,1994.479452
Corey Davis,Western Michigan,WR,1995.027397
Mike Williams,Clemson,WR,1994.756164
John Ross,Washington,WR,1995.90411
Zay Jones,East Carolina,WR,1995.241096
Curtis Samuel,Ohio State,WR,1996.608219
JuJu Smith-Schuster,USC,WR,1996.890411
Cooper Kupp,Eastern Washington,WR,1993.45479
Taywan Taylor,Western Kentucky,WR,1995.164384
ArDarius Stewart,Alabama,WR,1993.934247
Carlos Henderson,Louisiana Tech,WR,1994.964384
Chris Godwin,Penn State,WR,1996.156164
Kenny Golladay,Northern Illinois,WR,1993.838356
